
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X           Y           Z         THXY    THYZ    THZX
     142   0.31594      2.8145      0.0000        0.00    0.00    0.00
     143   0.32236      2.6282      0.0000        0.00    0.00    0.00
     144   0.18741      2.6432      0.0000        0.00    0.00    0.00
     145    2.7742     0.31489      0.0000        0.00    0.00    0.00
     146    2.7977     0.16114      0.0000        0.00    0.00    0.00
     147    2.6216     0.16312      0.0000        0.00    0.00    0.00
     148    2.5805     0.32085      0.0000        0.00    0.00    0.00
     149   0.60473      2.6716      0.0000        0.00    0.00    0.00
     150   0.79358      2.5549      0.0000        0.00    0.00    0.00
     151   0.42925      2.6444      0.0000        0.00    0.00    0.00
     152   0.46880      2.7389      0.0000        0.00    0.00    0.00
     153    2.6512     0.67407      0.0000        0.00    0.00    0.00
     154    2.4661     0.64804      0.0000        0.00    0.00    0.00
     155    2.7394     0.48249      0.0000        0.00    0.00    0.00
     156    2.5401     0.47657      0.0000        0.00    0.00    0.00
     157   0.32837      2.1983      0.0000        0.00    0.00    0.00
     158   0.42824      2.3562      0.0000        0.00    0.00    0.00
     159   0.21680      2.4791      0.0000        0.00    0.00    0.00
     160   0.35128      2.4897      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     161   0.62222      2.3702      0.0000        0.00    0.00    0.00
     162   0.27784      1.6955      0.0000        0.00    0.00    0.00
     163   0.29635      1.9561      0.0000        0.00    0.00    0.00
     164   0.72547      1.9325      0.0000        0.00    0.00    0.00
     165   0.68683      1.6879      0.0000        0.00    0.00    0.00
     166   0.57539      1.4582      0.0000        0.00    0.00    0.00
     167   0.29357      1.5039      0.0000        0.00    0.00    0.00
     168    1.6513     0.22554      0.0000        0.00    0.00    0.00
     169    1.5264     0.33536      0.0000        0.00    0.00    0.00
     170    1.4710     0.15588      0.0000        0.00    0.00    0.00
     171    1.3962     0.30507      0.0000        0.00    0.00    0.00
     172    2.3528     0.12455      0.0000        0.00    0.00    0.00
     173    2.1879     0.25778      0.0000        0.00    0.00    0.00
     174    2.3775     0.31312      0.0000        0.00    0.00    0.00
     175    2.4724     0.16076      0.0000        0.00    0.00    0.00
     176    2.1864     0.66452      0.0000        0.00    0.00    0.00
     177    2.3371     0.58506      0.0000        0.00    0.00    0.00
     178    2.0960     0.47545      0.0000        0.00    0.00    0.00
     179    1.6567     0.87726      0.0000        0.00    0.00    0.00
     180    1.5745     0.53691      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     181    1.3838     0.85355      0.0000        0.00    0.00    0.00
     182    1.3403      1.2729      0.0000        0.00    0.00    0.00
     183    1.0176      1.0746      0.0000        0.00    0.00    0.00
     184    1.0383      1.5577      0.0000        0.00    0.00    0.00
     185   0.86256      1.6228      0.0000        0.00    0.00    0.00
     186   0.70790      2.4626      0.0000        0.00    0.00    0.00
     187   0.11903      1.3301      0.0000        0.00    0.00    0.00
     188   0.89259E-01  1.1639      0.0000        0.00    0.00    0.00
     189   0.15415      1.0764      0.0000        0.00    0.00    0.00
     190   0.20829      1.2440      0.0000        0.00    0.00    0.00
     191   0.26404      1.1444      0.0000        0.00    0.00    0.00
     192   0.26582      1.4154      0.0000        0.00    0.00    0.00
     193   0.35747      1.3032      0.0000        0.00    0.00    0.00
     194   0.52613      1.3688      0.0000        0.00    0.00    0.00
     195   0.41322      1.2035      0.0000        0.00    0.00    0.00
     196   0.57759      1.2233      0.0000        0.00    0.00    0.00
     197   0.30456      1.0466      0.0000        0.00    0.00    0.00
     198   0.42672      1.0929      0.0000        0.00    0.00    0.00
     199    1.2463     0.42490      0.0000        0.00    0.00    0.00
     200    1.0981     0.38082      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     201    1.0409     0.27500      0.0000        0.00    0.00    0.00
     202    1.1864     0.29476      0.0000        0.00    0.00    0.00
     203    1.1316     0.21484      0.0000        0.00    0.00    0.00
     204    1.3266     0.30170      0.0000        0.00    0.00    0.00
     205    1.2804     0.22205      0.0000        0.00    0.00    0.00
     206    1.3874     0.15082      0.0000        0.00    0.00    0.00
     207    1.2256     0.14213      0.0000        0.00    0.00    0.00
     208    1.3186     0.72880E-01  0.0000        0.00    0.00    0.00
     209    1.0694     0.13452      0.0000        0.00    0.00    0.00
     210    1.1570     0.69253E-01  0.0000        0.00    0.00    0.00
     211    1.3208     0.57580      0.0000        0.00    0.00    0.00
     212    1.2705     0.81945      0.0000        0.00    0.00    0.00
     213    1.0792     0.70616      0.0000        0.00    0.00    0.00
     214    1.1964     0.66841      0.0000        0.00    0.00    0.00
     215    1.0408     0.54872      0.0000        0.00    0.00    0.00
     216    1.0020     0.42658      0.0000        0.00    0.00    0.00
     217   0.93366     0.56349      0.0000        0.00    0.00    0.00
     218   0.44328     0.99107      0.0000        0.00    0.00    0.00
     219   0.53023     0.91289      0.0000        0.00    0.00    0.00
     220   0.53217      1.0090      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     221   0.66780     0.95309      0.0000        0.00    0.00    0.00
     222   0.72672      1.0568      0.0000        0.00    0.00    0.00
     223   0.76757      1.2428      0.0000        0.00    0.00    0.00
     224   0.74112     0.82676      0.0000        0.00    0.00    0.00
     225   0.89635      1.0105      0.0000        0.00    0.00    0.00
     226   0.37581      2.6363      0.0000        0.00    0.00    0.00
     227   0.39237      2.7767      0.0000        0.00    0.00    0.00
     228   0.31476      2.8990      0.0000        0.00    0.00    0.00
     229   0.31915      2.7213      0.0000        0.00    0.00    0.00
     230   0.23982      2.8145      0.0000        0.00    0.00    0.00
     231   0.33682      2.5589      0.0000        0.00    0.00    0.00
     232   0.25489      2.6357      0.0000        0.00    0.00    0.00
     233   0.20210      2.5611      0.0000        0.00    0.00    0.00
     234   0.17555      2.7289      0.0000        0.00    0.00    0.00
     235   0.93703E-01  2.6549      0.0000        0.00    0.00    0.00
     236   0.16036      2.9052      0.0000        0.00    0.00    0.00
     237   0.81851E-01  2.8240      0.0000        0.00    0.00    0.00
     238    2.6441     0.81560E-01  0.0000        0.00    0.00    0.00
     239    2.8155     0.80569E-01  0.0000        0.00    0.00    0.00
     240    2.8968     0.15900      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     241    2.7097     0.16213      0.0000        0.00    0.00    0.00
     242    2.7860     0.23801      0.0000        0.00    0.00    0.00
     243    2.5470     0.16194      0.0000        0.00    0.00    0.00
     244    2.6010     0.24198      0.0000        0.00    0.00    0.00
     245    2.4790     0.31698      0.0000        0.00    0.00    0.00
     246    2.6774     0.31787      0.0000        0.00    0.00    0.00
     247    2.5603     0.39871      0.0000        0.00    0.00    0.00
     248    2.8789     0.31431      0.0000        0.00    0.00    0.00
     249    2.7568     0.39869      0.0000        0.00    0.00    0.00
     250   0.46835      2.5963      0.0000        0.00    0.00    0.00
     251   0.55609      2.6099      0.0000        0.00    0.00    0.00
     252   0.53676      2.7052      0.0000        0.00    0.00    0.00
     253   0.46905      2.8510      0.0000        0.00    0.00    0.00
     254   0.69916      2.6133      0.0000        0.00    0.00    0.00
     255   0.61423      2.8030      0.0000        0.00    0.00    0.00
     256   0.86032      2.7040      0.0000        0.00    0.00    0.00
     257    2.8512     0.47590      0.0000        0.00    0.00    0.00
     258    2.7928     0.64890      0.0000        0.00    0.00    0.00
     259    2.5898     0.79723      0.0000        0.00    0.00    0.00
     260    2.6953     0.57828      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     261    2.5586     0.66105      0.0000        0.00    0.00    0.00
     262    2.5031     0.56231      0.0000        0.00    0.00    0.00
     263    2.4347     0.46594      0.0000        0.00    0.00    0.00
     264    2.4016     0.61655      0.0000        0.00    0.00    0.00
     265   0.10840      2.4896      0.0000        0.00    0.00    0.00
     266   0.16419      2.2658      0.0000        0.00    0.00    0.00
     267   0.51909      2.1830      0.0000        0.00    0.00    0.00
     268   0.27259      2.3387      0.0000        0.00    0.00    0.00
     269   0.37830      2.2773      0.0000        0.00    0.00    0.00
     270   0.38976      2.4229      0.0000        0.00    0.00    0.00
     271   0.42937      2.5189      0.0000        0.00    0.00    0.00
     272   0.56484      2.4592      0.0000        0.00    0.00    0.00
     273   0.52523      2.3632      0.0000        0.00    0.00    0.00
     274   0.71612      1.3883      0.0000        0.00    0.00    0.00
     275   0.71764      2.0501      0.0000        0.00    0.00    0.00
     276   0.70615      1.8102      0.0000        0.00    0.00    0.00
     277   0.51091      1.9443      0.0000        0.00    0.00    0.00
     278   0.48234      1.6917      0.0000        0.00    0.00    0.00
     279   0.63111      1.5730      0.0000        0.00    0.00    0.00
     280   0.28570      1.5997      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     281   0.14678      1.5019      0.0000        0.00    0.00    0.00
     282   0.28709      1.8258      0.0000        0.00    0.00    0.00
     283   0.13892      1.6811      0.0000        0.00    0.00    0.00
     284   0.14817      1.9781      0.0000        0.00    0.00    0.00
     285    1.4855     0.77939E-01  0.0000        0.00    0.00    0.00
     286    1.6590     0.11277      0.0000        0.00    0.00    0.00
     287    1.7313     0.36441      0.0000        0.00    0.00    0.00
     288    1.5612     0.19071      0.0000        0.00    0.00    0.00
     289    1.5889     0.28045      0.0000        0.00    0.00    0.00
     290    1.4613     0.32022      0.0000        0.00    0.00    0.00
     291    1.4012     0.45260      0.0000        0.00    0.00    0.00
     292    1.5505     0.43614      0.0000        0.00    0.00    0.00
     293    2.3534     0.38422      0.0000        0.00    0.00    0.00
     294    2.1420     0.36661      0.0000        0.00    0.00    0.00
     295    2.0940     0.12889      0.0000        0.00    0.00    0.00
     296    2.2703     0.19117      0.0000        0.00    0.00    0.00
     297    2.2827     0.28545      0.0000        0.00    0.00    0.00
     298    2.4126     0.14266      0.0000        0.00    0.00    0.00
     299    2.4862     0.80382E-01  0.0000        0.00    0.00    0.00
     300    2.3430     0.62277E-01  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     301    2.0524     0.72318      0.0000        0.00    0.00    0.00
     302    2.2127     0.46538      0.0000        0.00    0.00    0.00
     303    2.1412     0.56998      0.0000        0.00    0.00    0.00
     304    2.2617     0.62479      0.0000        0.00    0.00    0.00
     305    2.3332     0.52019      0.0000        0.00    0.00    0.00
     306    1.7875     0.82955      0.0000        0.00    0.00    0.00
     307    1.3950     0.72684      0.0000        0.00    0.00    0.00
     308    1.5202     0.86541      0.0000        0.00    0.00    0.00
     309    1.6156     0.70709      0.0000        0.00    0.00    0.00
     310    1.4903     0.56852      0.0000        0.00    0.00    0.00
     311    1.5528      1.2290      0.0000        0.00    0.00    0.00
     312   0.93721      1.1965      0.0000        0.00    0.00    0.00
     313    1.1893      1.4153      0.0000        0.00    0.00    0.00
     314    1.1789      1.1737      0.0000        0.00    0.00    0.00
     315   0.94726      1.9392      0.0000        0.00    0.00    0.00
     316    1.1037      1.7518      0.0000        0.00    0.00    0.00
     317   0.94756      1.4381      0.0000        0.00    0.00    0.00
     318    2.7500      0.0000      0.0000        0.00    0.00    0.00
     319    1.5833      0.0000      0.0000        0.00    0.00    0.00
     320    0.0000      1.5833      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     321    0.0000      2.7500      0.0000        0.00    0.00    0.00
     322   0.46930      2.9631      0.0000        0.00    0.00    0.00
     323   0.39158      2.9743      0.0000        0.00    0.00    0.00
     324   0.31359      2.9836      0.0000        0.00    0.00    0.00
     325   0.23538      2.9908      0.0000        0.00    0.00    0.00
     326    2.8333      0.0000      0.0000        0.00    0.00    0.00
     327    2.9167      0.0000      0.0000        0.00    0.00    0.00
     328   0.15701      2.9959      0.0000        0.00    0.00    0.00
     329    0.0000      2.8333      0.0000        0.00    0.00    0.00
     330    0.0000      2.9167      0.0000        0.00    0.00    0.00
     331   0.78531E-01  2.9990      0.0000        0.00    0.00    0.00
     332   0.38268     0.92388      0.0000        0.00    0.00    0.00
     333   0.32180     0.94681      0.0000        0.00    0.00    0.00
     334   0.25955     0.96573      0.0000        0.00    0.00    0.00
     335    1.6667      0.0000      0.0000        0.00    0.00    0.00
     336    1.8333      0.0000      0.0000        0.00    0.00    0.00
     337   0.19509     0.98079      0.0000        0.00    0.00    0.00
     338   0.12978     0.99154      0.0000        0.00    0.00    0.00
     339   0.65025E-01 0.99788      0.0000        0.00    0.00    0.00
     340    0.0000      1.6667      0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     341    0.0000      1.8333      0.0000        0.00    0.00    0.00

