103	947	951	936	911	949	943	921	929
104	37	32	20	31	35	26	25	36
105	48	37	31	62	42	36	46	52
106	209	179	132	188	193	152	157	196
107	179	166	121	132	168	140	126	152
108	4	1	5	10	2	3	7	6
109	151	154	104	99	153	127	100	123
110	20	11	21	31	14	17	28	25
111	11	4	10	21	8	6	16	17
112	64	48	62	74	56	52	67	69
113	62	31	21	57	46	28	39	59
114	58	57	21	34	55	39	29	44
115	63	58	34	47	61	44	40	51
116	77	63	47	65	70	51	53	71
117	93	77	65	88	84	71	78	91
118	93	88	121	116	91	106	119	107
119	116	121	166	138	119	140	150	129
120	138	166	187	158	150	175	173	149
121	187	223	215	158	203	220	190	173
122	172	158	215	217	167	190	216	195
123	171	172	217	210	174	195	213	192
124	155	171	210	191	162	192	198	176
125	135	155	191	159	142	176	178	144
126	111	135	159	125	124	144	139	118
127	86	111	125	92	101	118	109	90
128	74	86	92	64	81	90	79	69
129	82	64	92	110	75	79	102	95
130	97	82	110	130	89	95	120	112
131	223	266	259	215	240	261	237	220
132	170	188	132	114	180	157	122	137
133	154	170	114	104	160	137	108	127
134	5	12	19	10	9	15	13	7
135	21	10	19	34	16	13	23	29
136	66	99	104	72	80	100	85	68
137	12	24	30	19	18	27	22	15
138	34	19	30	47	23	22	38	40
139	43	66	72	49	50	68	60	45
140	24	43	49	30	33	45	41	27
141	473	461	425	446	468	443	435	459
142	691	697	713	720	693	703	716	704
143	713	732	752	720	722	741	736	716
144	732	758	793	752	744	775	771	741
145	758	786	829	793	768	805	811	775
146	786	795	821	829	790	807	827	805
147	795	806	838	821	802	826	833	807
148	806	818	857	838	813	839	851	826
149	818	825	862	857	822	848	858	839
150	825	823	869	862	824	849	864	848
151	823	817	866	869	819	844	868	849
152	461	447	409	425	454	428	417	443
153	447	429	394	409	436	412	400	428
154	429	405	375	394	418	389	386	412
155	405	390	356	375	398	372	365	389
156	390	374	352	356	384	361	353	372
157	374	355	318	352	364	339	332	361
158	817	808	860	866	814	837	861	844
159	808	789	843	860	798	815	853	837
160	789	755	797	843	769	777	820	815
161	755	734	783	797	742	753	788	777
162	734	711	748	783	721	729	762	753
163	355	396	373	315	376	385	341	331
164	396	442	427	373	420	433	397	385
165	431	446	425	391	438	435	406	411
166	442	483	471	427	467	474	451	433
167	483	510	505	471	498	506	490	474
168	510	531	533	505	522	532	521	506
169	711	682	701	748	695	690	724	729
170	682	656	675	701	666	664	685	690
171	531	547	552	533	537	549	543	532
172	547	561	567	552	554	565	559	549
173	567	574	560	552	571	566	556	559
174	588	574	567	582	581	571	575	585
175	552	560	546	533	556	553	539	543
176	567	561	576	582	565	569	579	575
177	92	125	145	110	109	134	128	102
178	576	590	597	582	583	594	589	579
179	582	597	603	588	589	598	596	585
180	626	603	597	616	613	598	605	622
181	597	590	602	616	594	595	609	605
182	626	616	648	656	622	634	651	641
183	656	648	672	675	651	660	674	664
184	675	672	712	701	674	689	706	685
185	701	712	765	748	706	735	756	724
186	765	831	832	748	801	830	794	756
187	831	863	876	832	852	871	855	830
188	876	887	840	832	882	870	835	855
189	748	832	840	783	794	835	812	762
190	266	314	301	259	295	308	288	261
191	314	351	326	301	329	337	311	308
192	351	391	371	326	367	381	347	337
193	234	197	224	242	218	212	231	238
194	247	254	242	224	251	246	231	235
195	258	253	228	236	256	239	229	245
196	253	247	224	228	250	235	225	239
197	282	258	236	255	269	245	244	265
198	130	110	145	169	120	128	156	146
199	97	130	161	136	112	141	147	115
200	125	159	201	145	139	183	177	134
201	159	191	227	201	178	211	214	183
202	165	136	161	197	148	147	184	185
203	215	259	281	217	237	267	241	216
204	887	896	843	840	892	874	842	870
205	843	797	783	840	820	788	812	842
206	843	896	911	860	874	905	889	853
207	911	936	933	904	921	935	916	907
208	860	911	904	866	889	907	885	861
209	933	931	901	904	932	914	903	916
210	866	904	901	869	885	903	884	868
211	931	927	895	901	928	913	898	914
212	927	923	891	895	926	910	894	913
213	869	901	895	862	884	898	883	864
214	862	895	891	857	883	894	878	858
215	923	925	909	891	924	917	902	910
216	909	888	867	891	897	879	880	902
217	857	891	867	838	878	880	854	851
218	821	838	867	829	833	854	850	827
219	867	888	859	829	879	877	847	850
220	793	829	859	828	811	847	845	810
221	793	828	781	752	810	804	763	771
222	752	781	730	720	763	749	725	736
223	191	210	263	227	198	233	243	211
224	210	217	281	263	213	241	270	233
225	546	535	519	533	541	527	525	539
226	535	523	513	519	529	517	516	527
227	523	503	481	513	515	493	499	517
228	503	480	448	481	492	465	466	493
229	480	456	424	448	470	441	434	465
230	424	383	392	448	401	387	419	434
231	383	348	350	392	363	349	368	387
232	348	322	325	350	334	323	336	349
233	322	305	307	325	312	306	316	323
234	305	282	255	307	294	265	287	306
235	121	88	98	132	106	94	113	126
236	88	65	83	98	78	73	87	94
237	47	30	49	65	38	41	54	53
238	65	49	72	83	54	60	76	73
239	72	104	114	83	85	108	96	76
240	132	98	83	114	113	87	96	122
241	236	228	208	205	229	221	206	222
242	255	236	205	201	244	222	204	226
243	145	201	205	169	177	204	189	156
244	307	255	290	338	287	268	309	317
245	255	201	227	290	226	214	252	268
246	350	325	307	338	336	316	317	342
247	318	355	315	263	339	331	293	298
248	227	263	315	290	243	293	299	252
249	290	315	373	338	299	341	354	309
250	130	169	194	161	146	182	181	141
251	169	205	208	194	189	206	200	182
252	208	228	224	194	221	225	207	200
253	224	197	161	194	212	184	181	207
254	391	425	409	371	406	417	388	381
255	409	394	369	371	400	382	370	388
256	394	375	346	369	386	359	357	382
257	375	356	324	346	365	340	333	359
258	356	352	318	324	353	332	321	340
259	505	533	519	494	521	525	508	501
260	494	519	513	481	508	516	499	486
261	471	505	494	440	490	501	472	455
262	427	471	440	373	451	455	404	397
263	281	259	301	326	267	288	311	302
264	263	281	324	318	270	300	321	298
265	326	346	324	281	335	333	300	302
266	373	440	407	338	404	423	366	354
267	407	392	350	338	399	368	342	366
268	440	494	481	407	472	486	449	423
269	407	481	448	392	449	466	419	399
270	326	371	369	346	347	370	357	335
